robot,rating,matches,wins,losses,draws,ko_wins,ko_losses,win_rate,last_match_date
Mini Vortex,1066,4,4,0,0,3,0,1.0,2025-09-27 01:09:40
Royal Reaper,979,4,1,3,0,1,3,0.25,2025-10-04 00:33:44
Left Shoe Right Foot,992,5,2,3,0,1,2,0.4,2025-10-04 01:13:28
Shredder,986,3,1,2,0,0,0,0.3333,2025-09-27 01:24:22
Sawshimi,983,7,3,4,0,2,4,0.4286,2025-10-04 01:05:39
Pistol Shrimp,1002,2,1,1,0,1,0,0.5,2025-09-20 00:45:50
Dragonfly,984,1,0,1,0,0,1,0.0,2025-09-19 23:58:55
Fanter,1084,5,5,0,0,5,0,1.0,2025-10-04 00:22:53
Violet Tendencies,975,4,1,3,0,1,2,0.25,2025-10-04 00:22:53
Gearwig,1016,3,2,1,0,1,1,0.6667,2025-09-27 02:01:34
Max Moi,985,5,2,3,0,1,3,0.4,2025-10-04 01:13:28
Tamarac,1000,2,1,1,0,1,0,0.5,2025-09-27 01:24:22
Twinblade,968,2,0,2,0,0,2,0.0,2025-09-27 00:51:02
Fully Defined,1003,2,1,1,0,1,1,0.5,2025-09-27 01:09:40
Glup,1021,3,2,1,0,2,1,0.6667,2025-10-04 01:05:39
O`Invincible,1000,0,0,0,0,0,0,0.0,
Crash Out,1000,0,0,0,0,0,0,0.0,
A. Pudding,1005,2,1,1,0,1,1,0.5,2025-10-04 00:27:29
Double Time,1000,0,0,0,0,0,0,0.0,
Toe Biter,1000,0,0,0,0,0,0,0.0,
